Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,grange.co.uk,hrowen.co.uk,grange.co.uk (pages),hrowen.co.uk (pages),Results
used aston martin,"Navigational, Transactional",1900,30,0.17,0.88,8,6,https://www.grange.co.uk/aston-martin/used-cars/aston-martin,https://www.hrowen.co.uk/aston-martin/used-cars/,82800000
used aston martin for sale,Transactional,1300,28,0.13,0.99,8,3,https://www.grange.co.uk/aston-martin/used-cars/aston-martin,https://www.hrowen.co.uk/aston-martin/used-cars/,34600000
used bentley,Commercial,1300,28,0.42,1.00,5,6,https://www.grange.co.uk/bentley,https://www.hrowen.co.uk/bentley/used-cars/,162000000
used bentley for sale,Transactional,1300,25,0.31,1.00,37,5,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/used-cars/,68900000
aston martin approved used,"Commercial, Navigational",1000,29,0.64,0.60,6,3,https://www.grange.co.uk/aston-martin/used-cars/aston-martin,https://www.hrowen.co.uk/aston-martin/used-cars/,62600000
aston martin used,"Commercial, Navigational",1000,26,0.21,0.83,3,11,https://www.grange.co.uk/aston-martin/used-cars/aston-martin,https://www.hrowen.co.uk/aston-martin/used-cars/,65900000
used lamborghini for sale,Transactional,720,26,0.17,0.79,22,2,https://www.grange.co.uk/lamborghini/used-cars/lamborghini,https://www.hrowen.co.uk/lamborghini/used-cars/,54200000
bentley approved used,"Commercial, Informational",590,23,0.75,0.87,14,2,https://www.grange.co.uk/bentley,https://www.hrowen.co.uk/bentley/used-cars/,15600000
bentley used,Commercial,590,27,0.60,0.99,9,5,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/used-cars/,138000000
used lamborghini,Informational,590,37,0.26,0.61,4,3,https://www.grange.co.uk/lamborghini/used-cars/lamborghini,https://www.hrowen.co.uk/lamborghini/used-cars/,89700000
used rolls royce,Commercial,590,22,0.15,0.84,10,2,https://www.grange.co.uk/rolls-royce,https://www.hrowen.co.uk/rolls-royce/used-cars/,66700000
used rolls royce for sale,Transactional,590,18,0.23,1.00,29,2,https://www.grange.co.uk/rolls-royce/used-cars/rolls-royce,https://www.hrowen.co.uk/rolls-royce/used-cars/,10
aston martin used approved,"Commercial, Navigational",480,31,0.52,0.59,6,4,https://www.grange.co.uk/aston-martin/used-cars/aston-martin,https://www.hrowen.co.uk/aston-martin/used-cars/,99
used aston martin vantage,Commercial,480,21,0.17,0.76,4,9,https://www.grange.co.uk/aston-martin/used-cars/aston-martin,https://www.hrowen.co.uk/aston-martin/used-cars/vantage/,5850000
used bentley bentayga,Commercial,480,21,0.29,0.99,35,2,https://www.grange.co.uk/bentley/used-cars/bentley/bentayga,https://www.hrowen.co.uk/bentley/used-cars/bentayga/,2860000
used bentley cars,Commercial,480,28,0.45,1.00,10,2,https://www.grange.co.uk/bentley,https://www.hrowen.co.uk/bentley/used-cars/,55500000
used cars rolls royce,Commercial,480,30,0.15,0.84,9,3,https://www.grange.co.uk/rolls-royce/used-cars?branch=rolls-royce-motor-cars-edinburgh,https://www.hrowen.co.uk/rolls-royce/used-cars/,35200000
used range rover sport for sale uk,Transactional,480,21,0.36,1.00,35,66,https://www.grange.co.uk/land-rover/used-cars/land-rover/range-rover-sport,https://www.hrowen.co.uk/,23500000
approved used range rover sport,Commercial,390,26,0.79,1.00,36,65,https://www.grange.co.uk/land-rover/used-cars/land-rover,https://www.hrowen.co.uk/,91
aston martin used for sale,Transactional,320,28,0.16,0.94,8,6,https://www.grange.co.uk/aston-martin/used-cars/aston-martin,https://www.hrowen.co.uk/aston-martin/used-cars/,37500000
bentley used for sale,Transactional,320,26,0.35,1.00,31,3,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/used-cars/,74400000
bentley used sale,Transactional,320,28,0.35,1.00,36,3,https://www.grange.co.uk/bentley/used-cars?branch=bentley-chelmsford,https://www.hrowen.co.uk/bentley/used-cars/,42000000
lamborghini used,Informational,320,28,0.26,0.61,7,3,https://www.grange.co.uk/lamborghini,https://www.hrowen.co.uk/lamborghini/used-cars/,87200000
used aston martin dbx,Commercial,320,17,0.20,0.58,4,8,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/dbx,https://www.hrowen.co.uk/aston-martin/used-cars/dbx/,1430000
used bentleys,Commercial,320,27,0.45,1.00,12,3,https://www.grange.co.uk/bentley,https://www.hrowen.co.uk/bentley/used-cars/,1380000
used bentleys for sale,Transactional,320,22,0.35,1.00,35,4,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/used-cars/,662000
used lamborghini urus,Commercial,320,12,0.17,0.66,11,3,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/urus,https://www.hrowen.co.uk/lamborghini/urus-range/,7550000
used rolls royce cars for sale,Transactional,320,16,0.11,0.91,34,2,https://www.grange.co.uk/rolls-royce/used-cars/rolls-royce,https://www.hrowen.co.uk/rolls-royce/used-cars/,40700000
approved used aston martin,Commercial,260,32,0.52,0.59,7,3,https://www.grange.co.uk/aston-martin/used-cars/aston-martin,https://www.hrowen.co.uk/aston-martin/used-cars/,88
bentley used cars,Commercial,260,31,0.63,0.98,6,3,https://www.grange.co.uk/bentley/used-cars?branch=bentley-chelmsford,https://www.hrowen.co.uk/bentley/used-cars/,58100000
mclaren approved used,Navigational,260,16,1.70,0.52,8,23,https://www.grange.co.uk/mclaren/used-cars?branch=mclaren-hatfield,https://www.hrowen.co.uk/approved-used/,10200000
used aston martin db11,Commercial,260,17,0.18,0.42,8,3,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/db11,https://www.hrowen.co.uk/aston-martin/used-cars/db11/,1660000
used aston martin vanquish,Commercial,260,10,0.31,0.33,10,9,https://www.grange.co.uk/aston-martin/used-cars/aston-martin,https://www.hrowen.co.uk/aston-martin/vanquish-range/,2770000
used bentley cars for sale,Transactional,260,20,0.35,1.00,43,3,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/used-cars/,27200000
approved used bentley,Commercial,210,32,0.82,0.84,16,3,https://www.grange.co.uk/bentley,https://www.hrowen.co.uk/bentley/used-cars/,15700000
aston martin used cars,Commercial,210,27,0.22,0.78,4,11,https://www.grange.co.uk/aston-martin/used-cars/aston-martin,https://www.hrowen.co.uk/aston-martin/used-cars/,44100000
lamborghini approved used,Informational,210,26,0.22,0.57,8,3,https://www.grange.co.uk/lamborghini/used-cars/lamborghini,https://www.hrowen.co.uk/lamborghini/used-cars/,5780000
rolls royce used,Commercial,210,17,0.15,0.84,8,3,https://www.grange.co.uk/rolls-royce/used-cars/rolls-royce,https://www.hrowen.co.uk/rolls-royce/used-cars/,74100000
used aston martin dbs,Commercial,210,20,0.00,0.29,27,17,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/dbs,https://www.hrowen.co.uk/aston-martin/used-cars/,100
