Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
vauxhall,63,63,135000,46,0.83,https://www.grange.co.uk/vauxhall/offers,0,0,0.00,1,10,"[54,67,67,36,54,54,67,44,44,44,44,54]",2025-11-11,"Knowledge panel, Local pack, Image pack, Sitelinks, Video, Image, Ads top, Ads bottom, People also ask, Related searches","commercial, navigational",Organic
range rover,95,95,110000,72,0.99,https://www.grange.co.uk/land-rover/new-cars,0,0,0.00,0.64,271000000,"[67,81,81,81,100,81,81,81,81,67,67,67]",2025-11-11,"Knowledge panel, Sitelinks, Video, Image, Ads top, Ads bottom, People also ask, Related searches",informational,Organic
range rover,77,77,110000,72,0.99,https://www.grange.co.uk/land-rover/used-cars/land-rover/range-rover,0,0,0.00,0.64,271000000,"[67,81,81,81,100,81,81,81,81,67,67,67]",2025-11-11,"Knowledge panel, Sitelinks, Video, Image, Ads top, Ads bottom, People also ask, Related searches",informational,Organic
range rover,50,50,110000,72,0.99,https://www.grange.co.uk/land-rover/used-cars/land-rover,11,0.05,10.00,0.64,271000000,"[67,81,81,81,100,81,81,81,81,67,67,67]",2025-11-11,"Knowledge panel, Sitelinks, Video, Image, Ads top, Ads bottom, People also ask, Related searches",informational,Organic
lamborghini,26,26,110000,73,0.77,https://www.grange.co.uk/lamborghini/heritage,15,0.07,11.00,0.82,207000000,"[54,54,54,54,66,66,81,81,81,66,81,66]",2025-11-12,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
rolls royce,27,27,90500,88,0.95,https://www.grange.co.uk/rolls-royce/new-cars,5,0.02,4.00,0.53,158000000,"[67,82,67,55,82,82,100,82,82,82,67,67]",2025-10-04,"Knowledge panel, Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Twitter carousel, Related searches, Ads middle","informational, navigational",Organic
land rover,23,23,74000,78,1.08,https://www.grange.co.uk/land-rover,10,0.05,10.00,0.89,313000000,"[30,30,30,24,44,30,36,30,36,36,30,24]",2025-10-28,"Knowledge panel, Local pack, Sitelinks, Video, Image, Ads top, Ads bottom, People also ask, Related searches",navigational,Organic
range rover evoque,18,18,60500,32,0.99,https://www.grange.co.uk/land-rover/used-cars/land-rover/range-rover-evoque,90,0.45,89.00,1,31200000,"[36,36,36,30,44,36,44,44,44,36,30,30]",2025-11-06,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
bentley,29,29,49500,62,1.10,https://www.grange.co.uk/bentley,6,0.03,6.00,0.63,177000000,"[100,100,81,81,81,44,81,81,54,66,81,81]",2025-11-07,"Knowledge panel, Top stories, Sitelinks, Video, Image, Ads top, Ads bottom, People also ask, Related searches",navigational,Organic
lamborghini urus,21,21,49500,30,0.18,https://www.grange.co.uk/lamborghini/new-cars/urus,14,0.07,2.00,0.96,10,"[44,54,44,54,54,44,54,44,54,54,66,44]",2025-11-09,"Image pack, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",Organic
lamborghini urus,3,3,49500,30,0.18,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/urus,198,1,35.00,0.96,10,"[44,54,44,54,54,44,54,44,54,54,66,44]",2025-11-09,"Image pack, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",People also ask
ineos grenadier,80,80,40500,47,0.23,https://www.grange.co.uk/ineos-grenadier/used-cars/ineos-grenadier/grenadier,0,0,0.00,0.86,4700000,"[81,66,81,81,44,44,54,36,36,44,66,44]",2025-11-08,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
ineos grenadier,35,35,40500,47,0.23,https://www.grange.co.uk/ineos-grenadier,2,0.01,0.00,0.86,4700000,"[81,66,81,81,44,44,54,36,36,44,66,44]",2025-11-08,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
